Variable,Label,Values
breastsfreq,frequency of breasts,"1=""Less than once a month"", 2=""Once a month"", 3=""2-3 times a month"", 4=""2-4 times a week"", 5=""Every day or nearly every day"""
hot,clothes that make you too hot (or too covered) for weather conditions,"1=""Yes"", 2=""No"""
hotfreq,frequency of hot,"1=""Less than once a month"", 2=""Once a month"", 3=""2-3 times a month"", 4=""2-4 times a week"", 5=""Every day or nearly every day"""
cold,clothes that make you too cold (or too uncovered) for weather conditions,"1=""Yes"", 2=""No"""
coldfreq,frequency of cold,"1=""Less than once a month"", 2=""Once a month"", 3=""2-3 times a month"", 4=""2-4 times a week"", 5=""Every day or nearly every day"""
stand,shoes that limit how long you comfortably stand ,"1=""Yes"", 2=""No"""
standfreq,frequency of stand,"1=""Less than once a month"", 2=""Once a month"", 3=""2-3 times a month"", 4=""2-4 times a week"", 5=""Every day or nearly every day"""
drag,clothing that you have to be careful in because it can drag on the ground,"1=""Yes"", 2=""No"""
dragfreq,frequency of drag,"1=""Less than once a month"", 2=""Once a month"", 3=""2-3 times a month"", 4=""2-4 times a week"", 5=""Every day or nearly every day"""
catch,"accessories (e.g., bracelets, earrings, necklace, watch) that can catch on things","1=""Yes"", 2=""No"""
catchfreq,frequency of catch,"1=""Less than once a month"", 2=""Once a month"", 3=""2-3 times a month"", 4=""2-4 times a week"", 5=""Every day or nearly every day"""
obcs1r,obcs1 reversed,
obcs2r,obcs2 reversed,
obcs3r,obcs3 reversed,
obcs4r,obcs4 reversed,
obcs7r,obcs7 reversed,
obcs8r,obcs8 reversed,
bodysurv,body surveillance score,
bastotal,body appreciation score,
sample,study sample,"1=""College"", 2=""Mturk"""
